place;name;team;games;avg_kegel;mp;plus_ae
1;Jan Rechenberger (EO);KSC;2;535,5;2,0;0
2;Mayuran Vivekananthan;KSC;2;525,5;2,0;0
3;Horst Kühnel;Ferns (M);1;523,0;0,5;1
4;René Horter (EO);KSC;2;517,5;1,0;0
5;Emilian Liss;SempAdW IV (g);1;517,0;1,0;0
6;Uwe Schubart;SempAdW III (M);1;517,0;0,0;0
7;Gerhard Fischer;SempAdW III (M);3;507,7;3,0;0
8;Jens Michaelis;KSC II (g);3;507,3;2,0;0
9;Michael Bernstein;SempAdW IV (g);4;506,5;3,0;1
10;Karsten Schröter;KSC II (g);6;501,5;3,5;0
11;Hartmuth Körner;KSC III (g);3;501,3;2,0;2
12;Benjamin Lück;SempAdW III (M);3;501,0;1,0;0
12;Ulrich Zöllner;Ferns (M);3;501,0;1,0;0
14;Heiko Richter (EO);SempAdW;2;499,0;0,0;0
15;Dieter Stannies;KSC II (g);4;495,3;2,0;2
16;Rainer Dähne;SempAdW IV (g);3;495,0;2,0;0
17;Peggy Zenker;SempAdW IV (g);2;491,5;1,0;0
18;Reinhard Kindlein;Ferns (M);4;485,5;2,0;0
19;Torsten Wudtke;SempAdW III (M);4;485,0;3,0;0
20;Wilfried Goldner;Ferns (M);2;484,0;2,0;1
21;Janina Zinow;SempAdW IV (g);1;483,0;1,0;0
22;Ingrid Voigt (E);KSC;2;482,5;1,0;0
23;Ralf Mahneke;KSC II (g);1;476,0;1,0;1
24;Maja Bordasch;KSC III (g);5;475,6;3,0;0
25;Thomas Gross (EO);KSC;2;475,5;1,0;0
26;Uwe Gattner;Semp/AdW IV (g);3;474,0;1,5;0
27;Roger Horter;KSC II (g);2;472,0;0,0;1
27;Uwe Eggert;Semp/AdW IV (g);1;472,0;0,0;0
29;Jörg Merkin;Ferns (M);2;467,5;0,5;0
30;Rainer Schürer;KSC III (g);4;466,5;3,0;0
31;Frank Koeckert;Ferns (M);3;461,7;2,0;0
32;Anni Noack (EO);Semp/AdW IV (g);2;441,5;1,0;0
33;Robert Schild (E);KSC;1;439,0;0,0;2
34;Patricia Berg;SempAdW IV (g);1;436,0;1,0;2
35;Uwe Seidel;SempAdW IV (g);6;422,7;0,0;0
36;Wolfgang Krueger;SempAdW IV (g);2;393,5;0,0;1
37;Carola Brückner;SempAdW IV (g);0;0,0;0,0;4
37;Ellen Erlemann;KSC III (g);0;0,0;0,0;1
37;Peter Mahr (E);KSC;0;0,0;0,0;1
37;Theodor Gorks;Semp/AdW IV (g);0;0,0;0,0;1
