place;name;team;games;avg_kegel;mp;plus_ae
1;Dirk Uhlig (EO);KSC;1;562,0;3,0;0
2;Jan Rechenberger (EO);KSC;2;535,5;2,0;0
3;Christian Riedrich;SempAdW III (M);1;528,0;1,0;0
4;Gerald Noack;Semp/AdW IV (g);1;526,0;1,0;0
5;René Horter (EO);KSC;2;517,5;4,0;1
6;Emilian Liss;SempAdW IV (g);1;517,0;3,5;0
6;Uwe Schubart;SempAdW III (M);1;517,0;0,0;0
8;Mayuran Vivekananthan (EO);KSC;3;515,3;8,0;0
9;Jens Michaelis;KSC II (g);3;507,3;4,5;0
10;Michael Bernstein;SempAdW IV (g);5;507,0;5,0;1
11;Ulrich Zöllner;Ferns (M);5;505,6;7,5;0
12;Gerhard Fischer;SempAdW III (M);4;504,5;6,0;0
13;Karsten Schröter;KSC II (g);6;501,5;11,5;0
14;Benjamin Lück;SempAdW III (M);3;501,0;3,0;0
15;Heiko Richter (EO);SempAdW;2;499,0;1,5;0
16;Dieter Stannies;KSC II (g);4;495,3;5,5;2
17;Rainer Dähne;SempAdW IV (g);3;495,0;6,0;0
18;Peggy Zenker;SempAdW IV (g);2;491,5;2,0;0
19;Hartmuth Körner;KSC III (g);5;490,6;11,0;1
20;Reinhard Kindlein;Ferns (M);4;485,5;6,5;0
21;Torsten Wudtke;SempAdW III (M);4;485,0;7,0;0
22;Wilfried Goldner;Ferns (M);2;484,0;7,0;1
23;Janina Zinow;SempAdW IV (g);1;483,0;1,0;0
24;Ingrid Voigt (E);KSC;4;478,0;6,5;0
25;Horst Kühnel;Ferns (M);3;476,3;0,5;1
26;Ralf Mahneke;KSC II (g);1;476,0;1,0;1
27;Maja Bordasch;KSC III (g);5;475,6;3,0;0
28;Hans-Jürgen Wahl;Ferns (M);2;475,5;1,0;0
28;Thomas Gross (EO);KSC;2;475,5;2,0;0
30;Uwe Gattner;Semp/AdW IV (g);3;474,0;3,5;0
31;Roger Horter;KSC II (g);2;472,0;3,0;0
31;Uwe Eggert;Semp/AdW IV (g);1;472,0;0,0;0
33;Rainer Schürer;KSC III (g);5;469,4;10,0;0
34;Jörg Merkin;Ferns (M);4;465,3;4,5;0
35;Frank Koeckert;Ferns (M);3;461,7;4,0;0
36;Lutz Frömming;SempAdW IV (g);1;443,0;1,0;0
37;Anni Noack (EO);Semp/AdW IV (g);2;441,5;2,0;0
38;Robert Schild (E);KSC;1;439,0;0,0;2
39;Patricia Berg;SempAdW IV (g);1;436,0;1,0;3
40;Uwe Seidel;SempAdW IV (g);7;431,0;1,0;0
41;Lennard Sdrojek (E);KSC;1;423,0;1,0;0
42;Wolfgang Krueger;SempAdW IV (g);3;403,3;1,0;1
43;Carola Brückner;SempAdW IV (g);0;0,0;0,0;5
43;Ellen Erlemann;KSC III (g);0;0,0;0,0;1
43;Stephanie Weckeck;SempAdW IV (g);0;0,0;0,0;1
43;Theodor Gorks;Semp/AdW IV (g);0;0,0;0,0;1
