place;name;team;games;avg_kegel;mp;plus_ae
1;Tobias;Scheffler Jugend;1;542,0;1,0;0
2;Anni;Noack Jugend;3;527,3;3,0;0
3;Bruno;Vujnovic Jugend;2;512,0;2,0;2
4;Simone Peter (G);CKC II (F);1;506,0;1,0;0
5;Ralf Mahnecke (EO);KSC IV (g);2;499,0;1,0;0
6;Torsten Schwarz Klee;III (g);5;497,4;4,0;0
7;Anne Lischke (EO);Klee III (g);1;497,0;1,0;0
8;Florian;Weber Jugend;3;496,0;3,0;0
9;Dieter Stannies (EO);KSC IV (g);1;490,0;1,0;0
10;Monika Isensee Klee;III (g);3;482,3;2,0;2
11;Toni;Kricke Jugend;4;480,0;3,0;1
12;Maureen Liersch Luft;II (g);8;479,3;5,0;0
13;Roger Horter (EO);KSC IV (g);2;478,5;1,0;0
14;Annette Lexow Luft;II (g);6;476,8;3,0;1
15;Melanie Wudtke (G);CKC II (F);3;476,0;2,0;0
16;Peter Malter CKC;III (M);3;473,3;3,0;0
17;Emilian;Liss Jugend;5;471,2;1,0;1
18;Thomas Ladach Luft;II (g);2;467,0;2,0;0
19;Charlotte Lischke;(U14) Jugend;6;464,5;5,0;0
20;Ingrid Voigt;KSC IV (g);7;461,1;3,0;0
21;Torsten Reuter Klee;III (g);3;461,0;2,0;0
22;Klaus Winkler CKC;III (M);4;460,8;3,0;0
23;Robert Schild;KSC IV (g);6;460,3;2,0;0
24;Gisela Ludwig CKC;II (F);6;459,0;2,0;0
25;Katrin Kruber Klee;III (g);2;456,5;1,0;1
26;Julia Reuter Klee;III (g);6;455,2;3,0;0
27;Klaus Henschke CKC;III (M);5;453,8;3,0;0
28;Kurt Krüger CKC;III (M);2;451,0;1,0;0
29;Marianne Wudtke (G);CKC II (F);5;447,8;3,0;0
30;Sabine Gültzow CKC;II (F);4;446,3;1,0;1
31;Karin Heinert CKC;II (F);3;440,3;2,0;0
32;Wolfgang Thiede CKC;III (M);2;439,5;2,0;0
33;Gabriele Scheffner;KSC IV (g);4;436,5;3,0;0
34;Bodo Liersch Luft;II (g);6;431,3;2,0;0
35;Lennard Sdrojek;KSC IV (g);4;430,5;3,0;0
36;Klaus Reisewitz Klee;III (g);3;425,3;0,0;1
37;Carsten Woyke (EO);Luft II (g);1;415,0;0,0;0
38;Rainer Günther CKC;III (M);5;413,6;1,0;0
39;Peter Mahr;KSC IV (g);1;410,0;0,0;3
40;Gudrun Pickel CKC;II (F);1;409,0;1,0;1
41;Klaus Pirl Luft;II (g);5;399,8;1,0;1
42;Paul Meißner (EO);CKC III (M);1;399,0;0,0;0
43;Thorsten Grätz Luft;II (g);2;393,0;0,0;1
44;Andreas Wezorke CKC;III (M);2;390,5;0,0;0
45;Tini Müller Klee;III (g);3;378,3;0,0;0
46;Lucas;Lohr Jugend;1;374,0;0,0;2
47;Marina Kempke CKC;II (F);2;359,5;0,0;1
48;Erika Mamsch (G);CKC II (F);1;356,0;0,0;2
49;Stefan Porzig;KSC IV (g);2;352,5;0,0;3
50;Brigitte Roschke (G);CKC II (F);1;343,0;0,0;2
51;Angelika Voss Luft;II (g);0;0,0;0,0;1
51;Petra Beschorner CKC;II (F);0;0,0;0,0;3
