place;name;team;games;avg_kegel;mp;plus_ae
1;René Horter (EO);KSC;1;540,0;1,0;0
2;Mayuran Vivekananthan (EO);KSC;1;528,0;1,0;0
3;Horst Kühnel;Ferns (M);1;523,0;0,5;0
4;Jens Michaelis;KSC II (g);2;522,0;1,0;0
5;Ulrich Zöllner;Ferns (M);1;517,0;1,0;0
6;Karsten Schröter;KSC II (g);3;516,0;1,5;0
7;Dieter Stannies;KSC II (g);2;514,5;1,0;1
8;Rainer Dähne;SempAdW IV (g);1;510,0;1,0;0
9;Frank Koeckert;Ferns (M);1;509,0;1,0;0
10;Jan Rechenberger (EO);KSC;1;506,0;1,0;0
11;Hartmuth Körner;KSC III (g);1;500,0;1,0;1
12;Gerhard Fischer;SempAdW III (M);2;499,5;2,0;0
13;Heiko Richter (EO);SempAdW;1;499,0;0,0;0
14;Michael Bernstein;SempAdW IV (g);1;496,0;1,0;1
14;Reinhard Kindlein;Ferns (M);1;496,0;0,0;0
16;Benjamin Lück;SempAdW III (M);1;485,0;0,0;0
16;Rainer Schürer;KSC III (g);2;485,0;2,0;0
18;Ralf Mahneke;KSC II (g);1;476,0;1,0;0
19;Uwe Eggert;Semp/AdW IV (g);1;472,0;0,0;0
20;Thomas Gross (EO);KSC;1;465,0;0,0;0
21;Torsten Wudtke;SempAdW III (M);1;449,0;0,0;0
22;Anni Noack (EO);Semp/AdW IV (g);2;441,5;1,0;0
23;Uwe Gattner;Semp/AdW IV (g);1;434,0;1,0;0
24;Maja Bordasch;KSC III (g);2;433,0;0,0;0
25;Uwe Seidel;SempAdW IV (g);2;396,0;0,0;0
26;Carola Brückner;SempAdW IV (g);0;0,0;0,0;2
26;Robert Schild (E);KSC;0;0,0;0,0;2
28;Ellen Erlemann;KSC III (g);0;0,0;0,0;1
28;Patricia Berg;SempAdW IV (g);0;0,0;0,0;1
28;Roger Horter;KSC II (g);0;0,0;0,0;1
28;Theodor Gorks;Semp/AdW IV (g);0;0,0;0,0;1
28;Wolfgang Krueger;SempAdW IV (g);0;0,0;0,0;1
