place;name;team;games;avg_kegel;mp;plus_ae
1;René Horter (EO);KSC;1;540,0;1,0;0
2;Mayuran Vivekananthan;KSC;1;528,0;1,0;0
3;Horst Kühnel;Ferns (M);1;523,0;0,5;1
4;Jens Michaelis;KSC II (g);2;522,0;1,0;0
5;Emilian Liss;SempAdW IV (g);1;517,0;1,0;0
5;Ulrich Zöllner;Ferns (M);1;517,0;1,0;0
7;Karsten Schröter;KSC II (g);3;516,0;1,5;0
8;Benjamin Lück;SempAdW III (M);2;514,5;1,0;0
8;Dieter Stannies;KSC II (g);2;514,5;1,0;1
10;Gerhard Fischer;SempAdW III (M);3;507,7;3,0;0
11;Jan Rechenberger (EO);KSC;1;506,0;1,0;0
12;Rainer Dähne;SempAdW IV (g);2;502,0;2,0;0
13;Heiko Richter (EO);SempAdW;1;499,0;0,0;0
14;Michael Bernstein;SempAdW IV (g);1;496,0;1,0;1
15;Reinhard Kindlein;Ferns (M);2;495,5;0,0;0
16;Hartmuth Körner;KSC III (g);2;493,0;1,0;1
17;Ingrid Voigt (E);KSC;1;489,0;1,0;0
18;Jörg Merkin;Ferns (M);1;485,0;0,5;0
19;Torsten Wudtke;SempAdW III (M);2;481,5;1,0;0
20;Frank Koeckert;Ferns (M);2;478,0;1,0;0
20;Peggy Zenker;SempAdW IV (g);1;478,0;0,0;0
22;Ralf Mahneke;KSC II (g);1;476,0;1,0;0
23;Uwe Eggert;Semp/AdW IV (g);1;472,0;0,0;0
24;Thomas Gross (EO);KSC;1;465,0;0,0;0
25;Rainer Schürer;KSC III (g);3;463,0;2,0;0
26;Uwe Gattner;Semp/AdW IV (g);2;459,5;1,5;0
27;Maja Bordasch;KSC III (g);3;457,7;1,0;0
28;Anni Noack (EO);Semp/AdW IV (g);2;441,5;1,0;0
29;Uwe Seidel;SempAdW IV (g);3;415,3;0,0;0
30;Carola Brückner;SempAdW IV (g);0;0,0;0,0;2
30;Ellen Erlemann;KSC III (g);0;0,0;0,0;1
30;Patricia Berg;SempAdW IV (g);0;0,0;0,0;1
30;Robert Schild (E);KSC;0;0,0;0,0;2
30;Roger Horter;KSC II (g);0;0,0;0,0;1
30;Theodor Gorks;Semp/AdW IV (g);0;0,0;0,0;1
30;Wilfried Goldner;Ferns (M);0;0,0;0,0;1
30;Wolfgang Krueger;SempAdW IV (g);0;0,0;0,0;1
