place;name;team;games;avg_kegel;mp;plus_ae
1;Dirk Uhlig (EO);KSC;1;562,0;3,0;0
2;Jan Rechenberger (EO);KSC;2;535,5;2,0;0
3;Christian Riedrich;SempAdW III (M);1;528,0;1,0;0
4;Gerald Noack;Semp/AdW IV (g);1;526,0;1,0;0
5;Mayuran Vivekananthan (EO);KSC;2;525,5;6,0;0
6;René Horter (EO);KSC;2;517,5;4,0;1
7;Emilian Liss;SempAdW IV (g);1;517,0;3,5;0
7;Uwe Schubart;SempAdW III (M);1;517,0;0,0;0
9;Jens Michaelis;KSC II (g);3;507,3;4,5;0
10;Michael Bernstein;SempAdW IV (g);5;507,0;5,0;1
11;Gerhard Fischer;SempAdW III (M);4;504,5;6,0;0
12;Ulrich Zöllner;Ferns (M);4;504,0;6,5;0
13;Karsten Schröter;KSC II (g);6;501,5;11,5;0
14;Benjamin Lück;SempAdW III (M);3;501,0;3,0;0
14;Hans-Jürgen Wahl;Ferns (M);1;501,0;1,0;0
16;Heiko Richter (EO);SempAdW;2;499,0;1,5;0
17;Horst Kühnel;Ferns (M);2;495,5;0,5;1
18;Dieter Stannies;KSC II (g);4;495,3;5,5;2
19;Rainer Dähne;SempAdW IV (g);3;495,0;6,0;0
20;Hartmuth Körner;KSC III (g);4;494,3;8,0;1
21;Peggy Zenker;SempAdW IV (g);2;491,5;2,0;0
22;Reinhard Kindlein;Ferns (M);4;485,5;6,5;0
23;Torsten Wudtke;SempAdW III (M);4;485,0;7,0;0
24;Wilfried Goldner;Ferns (M);2;484,0;7,0;1
25;Ingrid Voigt (E);KSC;3;483,3;3,5;0
26;Janina Zinow;SempAdW IV (g);1;483,0;1,0;0
27;Jörg Merkin;Ferns (M);3;476,3;4,5;0
28;Ralf Mahneke;KSC II (g);1;476,0;1,0;1
29;Maja Bordasch;KSC III (g);5;475,6;3,0;0
30;Thomas Gross (EO);KSC;2;475,5;2,0;0
31;Uwe Gattner;Semp/AdW IV (g);3;474,0;3,5;0
32;Roger Horter;KSC II (g);2;472,0;3,0;0
32;Uwe Eggert;Semp/AdW IV (g);1;472,0;0,0;0
34;Rainer Schürer;KSC III (g);4;466,5;7,0;0
35;Frank Koeckert;Ferns (M);3;461,7;4,0;0
36;Lutz Frömming;SempAdW IV (g);1;443,0;1,0;0
37;Anni Noack (EO);Semp/AdW IV (g);2;441,5;2,0;0
38;Robert Schild (E);KSC;1;439,0;0,0;2
39;Patricia Berg;SempAdW IV (g);1;436,0;1,0;3
40;Uwe Seidel;SempAdW IV (g);7;431,0;1,0;0
41;Lennard Sdrojek (E);KSC;1;423,0;1,0;0
42;Wolfgang Krueger;SempAdW IV (g);3;403,3;1,0;1
43;Carola Brückner;SempAdW IV (g);0;0,0;0,0;5
43;Ellen Erlemann;KSC III (g);0;0,0;0,0;1
43;Stephanie Weckeck;SempAdW IV (g);0;0,0;0,0;1
43;Theodor Gorks;Semp/AdW IV (g);0;0,0;0,0;1
