place;name;team;games;avg_kegel;mp;plus_ae
1;René Horter (EO);KSC;1;540,0;1,0;0
2;Mayuran Vivekananthan (EO);KSC;1;528,0;1,0;0
3;Horst Kühnel;Ferns (M);1;523,0;0,5;1
4;Jens Michaelis;KSC II (g);2;522,0;1,0;0
5;Emilian Liss;SempAdW IV (g);1;517,0;1,0;0
6;Karsten Schröter;KSC II (g);3;516,0;1,5;0
7;Benjamin Lück;SempAdW III (M);2;514,5;1,0;0
7;Dieter Stannies;KSC II (g);2;514,5;1,0;1
9;Gerhard Fischer;SempAdW III (M);3;507,7;3,0;0
10;Jan Rechenberger (EO);KSC;1;506,0;1,0;0
11;Rainer Dähne;SempAdW IV (g);2;502,0;2,0;0
12;Heiko Richter (EO);SempAdW;1;499,0;0,0;0
13;Michael Bernstein;SempAdW IV (g);1;496,0;1,0;1
14;Ulrich Zöllner;Ferns (M);2;495,0;1,0;0
15;Hartmuth Körner;KSC III (g);2;493,0;1,0;2
16;Ingrid Voigt (E);KSC;1;489,0;1,0;0
17;Reinhard Kindlein;Ferns (M);3;488,0;1,0;0
18;Torsten Wudtke;SempAdW III (M);2;481,5;1,0;0
19;Frank Koeckert;Ferns (M);2;478,0;1,0;0
19;Peggy Zenker;SempAdW IV (g);1;478,0;0,0;0
21;Wilfried Goldner;Ferns (M);1;477,0;1,0;1
22;Ralf Mahneke;KSC II (g);1;476,0;1,0;0
23;Thomas Gross (EO);KSC;2;475,5;1,0;0
24;Uwe Eggert;Semp/AdW IV (g);1;472,0;0,0;0
25;Jörg Merkin;Ferns (M);2;467,5;0,5;0
26;Maja Bordasch;KSC III (g);4;463,5;2,0;0
27;Rainer Schürer;KSC III (g);3;463,0;2,0;0
28;Uwe Gattner;Semp/AdW IV (g);2;459,5;1,5;0
29;Anni Noack (EO);Semp/AdW IV (g);2;441,5;1,0;0
30;Robert Schild (E);KSC;1;439,0;0,0;2
31;Uwe Seidel;SempAdW IV (g);3;415,3;0,0;0
32;Carola Brückner;SempAdW IV (g);0;0,0;0,0;2
32;Ellen Erlemann;KSC III (g);0;0,0;0,0;1
32;Patricia Berg;SempAdW IV (g);0;0,0;0,0;1
32;Peter Mahr (E);KSC;0;0,0;0,0;1
32;Roger Horter;KSC II (g);0;0,0;0,0;1
32;Theodor Gorks;Semp/AdW IV (g);0;0,0;0,0;1
32;Wolfgang Krueger;SempAdW IV (g);0;0,0;0,0;1
