place;name;team;games;avg_kegel;mp;plus_ae
1;Bruno;Vujnovic Jugend;1;528,0;1,0;2
2;Anni;Noack Jugend;3;527,3;3,0;0
3;Ralf Mahnecke (EO);KSC IV (g);2;499,0;1,0;0
4;Torsten Schwarz Klee;III (g);5;497,4;4,0;0
5;Florian;Weber Jugend;2;493,0;2,0;0
6;Dieter Stannies (EO);KSC IV (g);1;490,0;1,0;0
7;Monika Isensee Klee;III (g);3;482,3;2,0;1
8;Toni;Kricke Jugend;4;480,0;3,0;1
9;Maureen Liersch Luft;II (g);6;478,8;4,0;0
10;Melanie Wudtke (G);CKC II (F);2;476,0;1,0;0
11;Annette Lexow Luft;II (g);5;474,0;2,0;0
12;Peter Malter CKC;III (M);3;473,3;3,0;0
13;Roger Horter (EO);KSC IV (g);1;472,0;0,0;0
14;Thomas Ladach Luft;II (g);2;467,0;2,0;0
15;Charlotte Lischke;(U14) Jugend;6;464,5;5,0;0
15;Emilian;Liss Jugend;4;464,5;1,0;1
17;Klaus Winkler CKC;III (M);4;460,8;3,0;0
18;Ingrid Voigt;KSC IV (g);5;459,4;3,0;0
19;Katrin Kruber Klee;III (g);2;456,5;1,0;0
20;Klaus Henschke CKC;III (M);5;453,8;3,0;0
21;Julia Reuter Klee;III (g);5;453,6;2,0;0
22;Robert Schild;KSC IV (g);4;453,5;2,0;0
23;Marianne Wudtke (G);CKC II (F);3;452,7;2,0;0
24;Gisela Ludwig CKC;II (F);4;452,0;1,0;0
25;Kurt Krüger CKC;III (M);2;451,0;1,0;0
26;Sabine Gültzow CKC;II (F);4;446,3;1,0;0
27;Torsten Reuter Klee;III (g);2;446,0;1,0;0
28;Karin Heinert CKC;II (F);3;440,3;2,0;0
29;Wolfgang Thiede CKC;III (M);2;439,5;2,0;0
30;Gabriele Scheffner;KSC IV (g);4;436,5;3,0;0
31;Lennard Sdrojek;KSC IV (g);2;433,5;2,0;0
32;Bodo Liersch Luft;II (g);4;428,5;2,0;0
33;Klaus Reisewitz Klee;III (g);3;425,3;0,0;1
34;Carsten Woyke (EO);Luft II (g);1;415,0;0,0;0
35;Rainer Günther CKC;III (M);5;413,6;1,0;0
36;Klaus Pirl Luft;II (g);3;410,0;1,0;1
36;Peter Mahr;KSC IV (g);1;410,0;0,0;3
38;Gudrun Pickel CKC;II (F);1;409,0;1,0;0
39;Paul Meißner (EO);CKC III (M);1;399,0;0,0;0
40;Thorsten Grätz Luft;II (g);2;393,0;0,0;1
41;Andreas Wezorke CKC;III (M);2;390,5;0,0;0
42;Tini Müller Klee;III (g);3;378,3;0,0;0
43;Lucas;Lohr Jugend;1;374,0;0,0;2
44;Stefan Porzig;KSC IV (g);1;360,0;0,0;3
45;Marina Kempke CKC;II (F);2;359,5;0,0;1
46;Erika Mamsch (G);CKC II (F);1;356,0;0,0;3
47;Brigitte Roschke (G);CKC II (F);1;343,0;0,0;0
48;Petra Beschorner CKC;II (F);0;0,0;0,0;2
